row_id,evidence_id,category,metric_1,value_1,metric_2,value_2,verdict,claim_scope
m0_m5_cpu_segment_parity,m0_m5_segment_parity,local_material_correctness,integral_max_abs_error,5.9570404165043556e-15,finite_difference_vjp_normalized_error,6.859349373222745e-10,accepted_local_cpu,fixed segments only
m0_m5_metal_segment_parity,m0_m5_segment_parity,local_material_correctness,forward_normalized_error,7.507716759391769e-08,vjp_normalized_error,5.960464477539063e-08,accepted_historical_source_hash_checked_metal,fixed segments only; not current trainer runtime
partial_chord_positive_p2,m3_m5_partial_chord_fit,material_capacity,M3_heldout_loss,5.2578895815493944e-17,M5_heldout_loss,8.796685111786883e-05,M3_family_win,synthetic partial chords; no universal winner
partial_chord_convex_log_p2,m3_m5_partial_chord_fit,material_capacity,M3_heldout_loss,0.0013281964210344283,M5_heldout_loss,6.188399567000404e-15,M5_family_win,synthetic partial chords; no universal winner
adaptive_m3_m5_mean_loss,adaptive_m3_m5_basis_selection,material_basis_selection,adaptive_to_best_fixed_ratio,0.3134053578693319,adaptive_to_oracle_ratio,1.0,accepted_cpu_adaptive_selection,"verified float64 CPU synthetic per-cell basis selection on disjoint chords; matched 24-byte M3/M5 payload plus one tag bit; no native, public-image, runtime, or memory claim"
adaptive_m3_m5_selection_accuracy,adaptive_m3_m5_basis_selection,material_basis_selection,pure_family_selection_accuracy,1.0,selection_oracle_agreement,1.0,accepted_cpu_adaptive_selection,"verified float64 CPU synthetic per-cell basis selection on disjoint chords; matched 24-byte M3/M5 payload plus one tag bit; no native, public-image, runtime, or memory claim"
constant_density_ordered_transfer,constant_density_ordered_transfer,ordered_transfer_algebra,render_max_abs_error,0.0,vjp_max_abs_error,2.4557592070983958e-11,accepted_cpu_constant_density,constant-density owner word only
g0_analytic_constant_sphere,synthetic_visibility_g0_g3,synthetic_correctness,rgb_max_absolute_error,0.0004355420320850678,transmittance_max_absolute_error,0.0005052691787544583,accepted_cpu_g0,"verified float64 CPU synthetic S1-S8/C1-C7 only; no native runtime, allocator, trained-image, or public-data claim"
g0_physical_gauge_jacobian,synthetic_visibility_g0_g3,synthetic_correctness,with_jacobian_rgb_max_error,3.329976727695083e-07,without_over_with_error_ratio,916927.4009053267,accepted_cpu_g0,"verified float64 CPU synthetic S1-S8/C1-C7 only; no native runtime, allocator, trained-image, or public-data claim"
g3_depth_layer_128_accuracy,synthetic_visibility_g0_g3,synthetic_visibility,psnr_db_mean,61.00175011680263,psnr_db_p05,37.92521152366744,accepted_cpu_g3,"verified float64 CPU synthetic S1-S8/C1-C7 only; no native runtime, allocator, trained-image, or public-data claim"
g3_crossing_vs_representative_sort,synthetic_visibility_g0_g3,synthetic_visibility,depth_layer_128_rgb_mse_mean,1.414974380679315e-05,representative_sorted_rgb_mse_mean,0.0011637838438611008,accepted_cpu_g3,"verified float64 CPU synthetic S1-S8/C1-C7 only; no native runtime, allocator, trained-image, or public-data claim"
g3_crossing_vs_depth_marginal,synthetic_visibility_g0_g3,synthetic_visibility,depth_layer_128_rgb_mse_mean,1.414974380679315e-05,depth_marginal_rgb_mse_mean,0.00748454452856657,accepted_cpu_g3,"verified float64 CPU synthetic S1-S8/C1-C7 only; no native runtime, allocator, trained-image, or public-data claim"
g3_crossing_flicker_vs_representative_sort,synthetic_visibility_g0_g3,synthetic_visibility,depth_layer_128_flicker_mean,0.002486417801720492,representative_sorted_flicker_mean,0.02206361148038069,accepted_cpu_g3,"verified float64 CPU synthetic S1-S8/C1-C7 only; no native runtime, allocator, trained-image, or public-data claim"
g3_crossing_gradient_variance_vs_representative_sort,synthetic_visibility_g0_g3,synthetic_visibility,depth_layer_128_gradient_variance_mean,2.7703643616359937e-05,representative_sorted_gradient_variance_mean,0.0021054758574574534,accepted_cpu_g3,"verified float64 CPU synthetic S1-S8/C1-C7 only; no native runtime, allocator, trained-image, or public-data claim"
g3_adaptive_fallback,synthetic_visibility_g0_g3,synthetic_visibility,fallback_fraction_mean,0.5146250808015514,fallback_fraction_p95,0.9524886877828054,accepted_cpu_g3_diagnostic,"verified float64 CPU synthetic S1-S8/C1-C7 only; no native runtime, allocator, trained-image, or public-data claim"
g3_crossing_order_flips,synthetic_visibility_g0_g3,synthetic_visibility,representative_sorted_order_flips,20.0,depth_layer_128_order_flips,20.0,accepted_cpu_g3_diagnostic,"verified float64 CPU synthetic S1-S8/C1-C7 only; no native runtime, allocator, trained-image, or public-data claim"
